spec,course,char,board,action,item,boost,rank,finished_before,frames,money,wall_s,mode
"course=9,char=0,board=0",9,0,0,255,255,0,4,3,15904,0,30,pak
"course=9,char=0,board=1",9,0,1,255,255,0,2,1,15038,0,26,pak
"course=9,char=0,board=2",9,0,2,255,255,0,4,3,14774,0,27,pak
"course=9,char=1,board=0",9,1,0,255,255,0,4,3,16328,0,36,pak
"course=9,char=1,board=1",9,1,1,255,255,0,3,2,15774,0,37,pak
"course=9,char=1,board=2",9,1,2,255,255,0,2,1,14832,0,37,pak
"course=9,char=2,board=0",9,2,0,255,255,0,3,2,15610,0,27,pak
"course=9,char=2,board=1",9,2,1,255,255,0,4,3,16188,0,40,pak
"course=9,char=2,board=2",9,2,2,255,255,0,3,2,15564,0,36,pak
"course=9,char=3,board=0",9,3,0,255,255,0,2,1,15342,0,30,pak
"course=9,char=3,board=1",9,3,1,255,255,0,1,0,14726,0,27,pak
"course=9,char=3,board=2",9,3,2,255,255,0,1,0,14312,0,29,pak
"course=9,char=4,board=0",9,4,0,255,255,0,3,2,15698,0,36,pak
"course=9,char=4,board=1",9,4,1,255,255,0,2,1,14896,0,28,pak
"course=9,char=4,board=2",9,4,2,255,255,0,3,2,15264,0,38,pak
"course=9,char=3,board=2,boost=8",9,3,2,255,255,8,1,0,14272,0,29,pak
"course=9,char=3,board=2,boost=16",9,3,2,255,255,16,3,2,15356,0,33,pak
"course=9,char=3,board=2,boost=32",9,3,2,255,255,32,3,2,15032,0,27,pak
"course=9,char=3,board=2,boost=64",9,3,2,255,255,64,1,0,13354,0,22,nopak
"course=0,char=3,board=2",0,3,2,255,255,0,3,2,18002,0,55,pak
"course=0,char=3,board=1",0,3,1,255,255,0,3,2,18382,0,30,pak
"course=0,char=1,board=2",0,1,2,255,255,0,1,0,18062,0,29,nopak
"course=1,char=3,board=2",1,3,2,255,255,0,2,1,27874,0,39,nopak
"course=2,char=3,board=2",2,3,2,255,255,0,3,2,21796,0,44,pak
"course=2,char=3,board=1",2,3,1,255,255,0,3,2,22106,0,36,pak
"course=2,char=1,board=2",2,1,2,255,255,0,4,3,22280,0,34,nopak
"course=3,char=3,board=2",3,3,2,255,255,0,2,1,24978,0,249,pak
"course=3,char=3,board=1",3,3,1,255,255,0,2,1,24746,0,40,pak
"course=3,char=1,board=2",3,1,2,255,255,0,2,1,24366,0,40,pak
"course=3,char=4,board=1",3,4,1,255,255,0,4,3,23988,0,40,pak
"course=3,char=0,board=1",3,0,1,255,255,0,2,1,25170,0,40,pak
"course=3,char=1,board=2,boost=32",3,1,2,255,255,32,4,3,23520,0,40,pak
"course=3,char=1,board=2,boost=64",3,1,2,255,255,64,1,0,22976,0,33,nopak
"course=4,char=3,board=2",4,3,2,255,255,0,3,2,25382,0,39,pak
"course=4,char=3,board=1",4,3,1,255,255,0,3,2,25272,0,39,pak
"course=4,char=1,board=2",4,1,2,255,255,0,4,3,25424,0,39,pak
"course=4,char=4,board=1",4,4,1,255,255,0,4,3,29118,0,39,pak
"course=4,char=0,board=1",4,0,1,255,255,0,3,2,26994,0,39,pak
"course=4,char=3,board=1,boost=32",4,3,1,255,255,32,3,2,24938,0,39,pak
"course=4,char=3,board=1,boost=64",4,3,1,255,255,64,3,2,23884,0,33,pak
"course=4,char=3,board=1,boost=96",4,3,1,255,255,96,1,0,21260,0,34,nopak
"course=5,char=3,board=2",5,3,2,255,255,0,3,2,23194,0,39,pak
"course=5,char=3,board=1",5,3,1,255,255,0,2,1,24078,0,39,pak
"course=5,char=1,board=2",5,1,2,255,255,0,4,3,23136,0,33,pak
"course=5,char=4,board=1",5,4,1,255,255,0,4,3,24040,0,39,pak
"course=5,char=0,board=1",5,0,1,255,255,0,4,3,24530,0,39,pak
"course=5,char=3,board=1,boost=32",5,3,1,255,255,32,3,2,23446,0,33,nopak
"course=6,char=3,board=2",6,3,2,255,255,0,3,2,23850,0,40,pak
"course=6,char=3,board=1",6,3,1,255,255,0,4,3,25042,0,39,pak
"course=6,char=1,board=2",6,1,2,255,255,0,4,3,24236,0,39,pak
"course=6,char=4,board=1",6,4,1,255,255,0,2,1,24224,0,39,pak
"course=6,char=0,board=1",6,0,1,255,255,0,4,3,25670,0,39,pak
"course=6,char=4,board=1,boost=32",6,4,1,255,255,32,2,1,22696,0,39,pak
"course=6,char=4,board=1,boost=64",6,4,1,255,255,64,1,0,21876,0,33,nopak
"course=1,char=3,board=2,boost=32",1,3,2,255,255,32,1,0,25058,0,33,nopak
"course=2,char=1,board=2,boost=32",2,1,2,255,255,32,2,1,21644,0,34,nopak
"course=2,char=1,board=2,boost=64",2,1,2,255,255,64,1,0,20244,0,28,nopak
"course=5,char=3,board=1,boost=64",5,3,1,255,255,64,1,0,21514,0,33,nopak
